siteenergyusekbtu;totalghgemissions;yearbuilt;is_using_electricitykWh;is_using_naturalgaskWh;is_using_steamusekWh;largestpropertyusetypegfa;numberofbuildings;numberoffloors;propertygfabuildings;buildingtype;primarypropertytype
7226362.5;249.98;1927.0;1.0;1.0;1.0;88434.0;1.0;12.0;88434;NonResidential;Hotel
8387933.0;295.86;1996.0;1.0;1.0;0.0;83880.0;1.0;11.0;88502;NonResidential;Hotel
72587024.0;2089.28;1969.0;1.0;1.0;1.0;756493.0;1.0;41.0;759392;NonResidential;Hotel
6794584.0;286.43;1926.0;1.0;1.0;1.0;61320.0;1.0;10.0;61320;NonResidential;Hotel
14172606.0;505.01;1980.0;1.0;1.0;0.0;123445.0;1.0;18.0;113580;NonResidential;Hotel
12086616.0;301.81;1999.0;1.0;1.0;0.0;88830.0;1.0;2.0;60090;Nonresidential COS;Other
5758795.0;176.14;1926.0;1.0;1.0;0.0;81352.0;1.0;11.0;83008;NonResidential;Hotel
6298131.5;221.51;1926.0;1.0;1.0;1.0;102761.0;1.0;8.0;102761;NonResidential;Other
13723820.0;392.16;1904.0;1.0;1.0;0.0;163984.0;1.0;15.0;163984;NonResidential;Hotel
4573777.0;151.12;1910.0;1.0;1.0;1.0;56132.0;1.0;6.0;62216;Multifamily MR (5-9);Mid-Rise Multifamily
16016644.0;691.26;1969.0;1.0;1.0;1.0;133884.0;1.0;11.0;133884;NonResidential;Hotel
26941110.0;740.97;1998.0;1.0;1.0;1.0;336640.0;1.0;25.0;272015;NonResidential;Hotel
6596057.5;328.23;1928.0;1.0;1.0;1.0;65009.0;1.0;9.0;65009;NonResidential;Hotel
22325364.0;648.62;1980.0;1.0;1.0;1.0;295511.0;1.0;33.0;258352;NonResidential;Hotel
10750010.0;511.39;1922.0;1.0;1.0;1.0;67390.0;1.0;11.0;66990;NonResidential;Hotel
18588860.0;181.38;2004.0;1.0;0.0;1.0;364913.0;1.0;11.0;355000;Nonresidential COS;Other
9956396.0;433.86;1930.0;1.0;1.0;1.0;90000.0;1.0;6.0;103911;NonResidential;Other
33556756.0;802.89;1983.0;1.0;1.0;0.0;348329.0;1.0;28.0;331281;NonResidential;Hotel
7606084.5;273.02;1907.0;1.0;1.0;1.0;16442.0;1.0;5.0;57452;NonResidential;Mixed Use Property
10154608.0;349.32;1916.0;1.0;1.0;1.0;104352.0;1.0;10.0;104352;NonResidential;Hotel
44984468.0;1265.29;1916.0;1.0;1.0;0.0;537150.0;1.0;10.0;540360;NonResidential;Other
47859812.0;1699.45;1985.0;1.0;1.0;0.0;385274.0;1.0;19.0;385274;NonResidential;Other
3663534.5;90.01;2001.0;1.0;1.0;0.0;58006.0;1.0;6.0;58006;NonResidential;Hotel
11343686.0;388.04;1928.0;1.0;1.0;0.0;125000.0;1.0;7.0;126593;NonResidential;University
1310236.625;9.13;1930.0;1.0;0.0;0.0;67224.0;1.0;2.0;67224;NonResidential;Other
5328051.5;256.57;1991.0;1.0;1.0;0.0;112676.0;1.0;8.0;128375;NonResidential;Hotel
11061916.0;328.63;2001.0;1.0;1.0;0.0;128909.0;1.0;10.0;133585;NonResidential;Hotel
4456714.5;128.44;1978.0;1.0;1.0;0.0;47994.0;1.0;5.0;52210;NonResidential;Hotel
4145920.5;157.77;1906.0;1.0;1.0;0.0;40943.0;1.0;3.0;87262;NonResidential;Small- and Mid-Sized Office
6668568.5;215.0;1994.0;1.0;1.0;0.0;81871.0;1.0;4.0;81871;NonResidential;Hotel
318364.8125;3.93;1955.0;1.0;1.0;0.0;26225.0;1.0;2.0;110356;NonResidential;Self-Storage Facility
448385312.0;16870.98;1992.0;1.0;1.0;0.0;757027.0;1.0;3.0;494835;Campus;Mixed Use Property
44731160.0;311.84;1961.0;1.0;0.0;0.0;616000.0;3.0;2.0;714095;NonResidential;Warehouse
1650279.25;31.47;1990.0;1.0;1.0;0.0;54986.0;1.0;2.0;54986;SPS-District K-12;K-12 School
6186461.5;130.56;1961.0;1.0;1.0;0.0;55586.0;1.0;2.0;94900;NonResidential;Small- and Mid-Sized Office
2951331.25;83.86;1900.0;1.0;1.0;0.0;51029.0;1.0;2.0;52554;NonResidential;Small- and Mid-Sized Office
6994740.5;247.85;1954.0;1.0;1.0;0.0;175015.0;1.0;3.0;175015;NonResidential;K-12 School
2158629.0;45.43;1911.0;1.0;1.0;0.0;38439.0;1.0;3.0;70586;NonResidential;Self-Storage Facility
16163194.0;295.33;1969.0;1.0;1.0;0.0;348630.0;1.0;24.0;126240;NonResidential;Hotel
9536161.0;66.48;1973.0;1.0;0.0;0.0;103362.0;1.0;5.0;168115;NonResidential;Large Office
1247362.0;33.26;1920.0;1.0;1.0;0.0;51747.0;1.0;2.0;57428;NonResidential;Other
5071974.0;35.36;1910.0;1.0;0.0;0.0;34947.0;1.0;8.0;59400;NonResidential;Small- and Mid-Sized Office
15026196.0;584.31;1926.0;1.0;1.0;0.0;23500.0;1.0;2.0;52549;NonResidential;Mixed Use Property
4841347.5;59.19;1930.0;1.0;1.0;0.0;83591.0;1.0;20.0;88591;NonResidential;Hotel
80469216.0;2451.58;1982.0;1.0;1.0;1.0;994212.0;1.0;34.0;847518;NonResidential;Hotel
5348309.0;134.38;1985.0;1.0;1.0;0.0;41340.0;1.0;7.0;71150;NonResidential;Hotel
5401277.5;227.18;1908.0;1.0;1.0;0.0;88360.0;1.0;7.0;122810;NonResidential;Hotel
5284343.5;144.79;1959.0;1.0;1.0;0.0;70627.0;1.0;5.0;70627;NonResidential;Hotel
6715187.0;199.95;2000.0;1.0;1.0;0.0;107547.0;1.0;7.0;115718;NonResidential;Hotel
5827595.5;162.39;1997.0;1.0;1.0;0.0;88490.0;1.0;6.0;88100;NonResidential;Hotel
6836900.0;152.76;1998.0;1.0;1.0;0.0;155602.0;1.0;6.0;118858;NonResidential;Hotel
3234787.75;146.34;1911.0;1.0;1.0;0.0;56072.0;1.0;3.0;56072;NonResidential;K-12 School
5337334.0;171.64;1999.0;1.0;1.0;0.0;78051.0;1.0;4.0;78051;NonResidential;Hotel
3375211.0;87.98;1962.0;1.0;1.0;0.0;54984.0;1.0;2.0;54984;NonResidential;Small- and Mid-Sized Office
42792072.0;1727.11;1922.0;1.0;1.0;0.0;296313.0;1.0;5.0;217603;NonResidential;Senior Care Community
16402563.0;609.1;1970.0;1.0;1.0;0.0;93397.0;1.0;2.0;93397;NonResidential;Senior Care Community
3706100.25;67.06;2008.0;1.0;1.0;0.0;63371.0;1.0;6.0;63371;NonResidential;Hotel
16701055.0;430.84;1965.0;1.0;1.0;0.0;179014.0;0.0;3.0;179014;NonResidential;Medical Office
7258758.5;262.75;1908.0;1.0;1.0;0.0;76631.0;1.0;7.0;76631;NonResidential;Hotel
15473117.0;481.97;1983.0;1.0;0.0;1.0;40174.0;1.0;6.0;90439;NonResidential;Mixed Use Property
1049748.625;39.06;1929.0;1.0;1.0;0.0;72072.0;1.0;2.0;58320;NonResidential;Retail Store
13795954.0;138.85;2010.0;1.0;1.0;0.0;261826.0;1.0;5.0;316306;NonResidential;Large Office
19459304.0;526.85;1990.0;1.0;1.0;0.0;235788.0;1.0;7.0;238097;NonResidential;Hotel
23658978.0;607.41;1962.0;1.0;1.0;1.0;368000.0;1.0;1.0;389000;Nonresidential COS;Other
8141155.5;344.2;1962.0;1.0;0.0;1.0;65000.0;1.0;1.0;91213;Nonresidential COS;Other
20955026.0;804.2;1938.0;1.0;0.0;1.0;278500.0;1.0;5.0;396085;Nonresidential COS;Other
39605888.0;617.52;2010.0;1.0;1.0;0.0;598801.0;1.0;12.0;571329;NonResidential;Large Office
2726369.0;101.83;1962.0;1.0;0.0;1.0;52000.0;1.0;2.0;52000;Nonresidential COS;Other
875943.3125;6.11;1928.0;1.0;0.0;0.0;108000.0;1.0;1.0;60696;Nonresidential COS;Other
20723248.0;490.73;1928.0;1.0;0.0;1.0;296000.0;1.0;2.0;262048;Nonresidential COS;Other
4166306.25;29.04;1986.0;1.0;0.0;0.0;45900.0;0.0;2.0;63888;NonResidential;Small- and Mid-Sized Office
36667044.0;674.09;2010.0;1.0;1.0;0.0;729584.0;1.0;6.0;616891;NonResidential;Large Office
3476212.5;48.76;1970.0;1.0;1.0;0.0;48546.0;1.0;4.0;50283;NonResidential;Small- and Mid-Sized Office
5155568.5;152.14;2002.0;1.0;1.0;0.0;59976.0;1.0;6.0;59976;NonResidential;Hotel
5448975.0;191.2;1962.0;1.0;1.0;0.0;50017.0;2.0;4.0;50017;NonResidential;Hotel
2646879.0;78.85;1923.0;1.0;1.0;0.0;67743.0;1.0;3.0;67743;NonResidential;K-12 School
6219841.5;243.23;1908.0;1.0;1.0;0.0;194104.0;1.0;6.0;194104;NonResidential;K-12 School
