OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;YearsENERGYSTARCertified;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity;DefaultData;ComplianceStatus;Outlier;Predict_ghgemissions;Predict_energyuse
1;2017;NonResidential;Hotel;Mayflower park hotel;405 Olive way;Seattle;WA;98101.0;0659000030;7.0;DOWNTOWN;47.6122;-122.33799;1927.0;1.0;12.0;88,434;0;88,434;Hotel;Hotel;88,434;;;;;;63.0;83.20;82.30;184.40;181.60;7,361,655;7,274,452.5;2,122,835.75;1,157,783.125;3,950,356.0225;12,884.63;1,288,462.99;197.63;2.235;N;Compliant;;261.99;1996614.5
2;2017;NonResidential;Hotel;Paramount Hotel;724 Pine street;Seattle;WA;98101.0;0659000220;7.0;DOWNTOWN;47.61317;-122.33393;1996.0;1.0;11.0;103,566;15,064;88,502;Hotel, Parking, Restaurant;Hotel;83,880;Parking;15,064;Restaurant;4,622;;72.0;88.20;86.80;163.80;159.80;7,804,844.5;7,678,810.5;;884,161;3,016,757.332;47,880.87;4,788,086.72;266.78;2.576;N;Compliant;;261.99;1996614.5
3;2017;Campus;Hotel;84SC9-The Westin Seattle;1900 5th Avenue;Seattle;WA;98101.0;0659000475;7.0;DOWNTOWN;47.61393;-122.3381;1969.0;1.0;41.0;956,110;196,718;759,392;Hotel, Parking, Swimming Pool;Hotel;756,493;Parking;138,635;Swimming Pool;0;;48.0;98.40;98.20;242.90;242.60;74,470,328;74,311,368;24,313,482;14,276,917;48,712,840.804;14,440.00;1,444,000.10;1,570.75;1.643;N;Compliant;;261.99;1996614.5
5;2017;NonResidential;Hotel;HOTEL MAX;620 STEWART ST;SEATTLE;WA;98101.0;0659000640;7.0;DOWNTOWN;47.61412;-122.33664;1926.0;1.0;10.0;61,320;0;61,320;Hotel;Hotel;61,320;;;;;;51.0;120.20;119.00;234.30;230.30;7,372,221.5;7,294,312;2,228,119.5;881,744.875;3,008,513.5135;21,355.88;2,135,587.89;244.32;3.984;N;Compliant;;261.99;1996614.5
8;2017;NonResidential;Hotel;WARWICK SEATTLE HOTEL (ID8);401 LENORA ST;Seattle;WA;98121.0;0659000970;7.0;DOWNTOWN;47.61375;-122.34047;1980.0;1.0;18.0;175,580;62,000;113,580;Hotel, Parking, Swimming Pool;Hotel;123,445;Parking;68,009;Swimming Pool;0;;78.0;116.10;114.10;209.90;205.50;14,335,778;14,081,251;;1,523,505.75;5,198,201.619;91,375.76;9,137,575.78;506.80;2.886;N;Compliant;;261.99;1996614.5
9;2017;Nonresidential COS;Other;West Precinct;810 Virginia St;Seattle;WA;98101.0;0660000560;7.0;DOWNTOWN;47.61623;-122.33657;1999.0;1.0;2.0;97,288;37,198;60,090;Parking, Police Station;Police Stat;50,755;Parking;40,971;;;;;261.10;261.00;591.70;591.40;13,250,532;13,249,402;;2,260,023.25;7,711,199.329;55,393.31;5,539,331.25;326.10;3.352;Y;Not Compliant;;261.99;1996614.5
10;2017;NonResidential;Hotel;Camlin;1619 9th Avenue;Seattle;WA;98101.0;0660000825;7.0;DOWNTOWN;47.6139;-122.33283;1926.0;1.0;11.0;83,008;0;83,008;Hotel;Hotel;81,352;;;;;;33.0;72.50;70.80;148.60;143.30;5,901,084;5,763,338.5;;826,919.875;2,821,450.6135;30,796.33;3,079,632.81;175.23;2.111;N;Compliant;;261.99;1996614.5
11;2017;NonResidential;Other;Paramount Theatre;911 Pine St;Seattle;WA;98101.0;0660000955;7.0;DOWNTOWN;47.61327;-122.33136;1926.0;1.0;8.0;102,761;0;102,761;Other - Entertainment/Public Assembly;Other - Ent;102,761;;;;;;;71.60;69.80;161.80;159.70;7,356,191.5;7,176,510;2,886,288.75;1,186,507.125;4,048,362.3105;4,215.40;421,539.99;192.57;1.874;N;Compliant;;261.99;1996614.5
12;2017;NonResidential;Hotel;311wh-Pioneer Square;612 2nd Ave;Seattle;WA;98104.0;0939000080;7.0;DOWNTOWN;47.60294;-122.33263;1904.0;1.0;15.0;163,984;0;163,984;Hotel;Hotel;163,984;;;;;;44.0;90.50;89.90;188.20;186.10;14,847,579;14,735,695;;2,141,435.5;7,306,577.926;75,410.00;7,541,000.00;430.73;2.627;N;Compliant;;261.99;1996614.5
13;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Lyon Building;607 - 3rd Ave.;Seattle;WA;98104.0;0939000105;7.0;DOWNTOWN;47.60284;-122.33184;1910.0;1.0;6.0;63,712;1,496;62,216;Multifamily Housing;Multifamily;56,132;;;;;;2.0;89.80;89.50;189.50;189.10;5,042,044.5;5,022,714.5;1,511,604;716,596.1875;2,445,026.19175;10,854.14;1,085,413.96;148.12;2.325;N;Compliant;;261.99;1996614.5
